id,name,price,originalPrice,image,category,subcategory,brand,rating,reviews,description,features,tags,priceRange,targetAudience,inStock
11,"Advanced Sports Watch",349.99,,"https://images.unsplash.com/photo-1434494878577-86c23bcb06b9?w=500&h=300&fit=crop","Wearables","Fitness","SportsTech",4.7,2134,"Premium sports watch with advanced metrics, GPS, and multi-sport tracking.","Multi-sport tracking modes|Advanced performance metrics|Built-in GPS and GLONASS|10-day battery life|Rugged design with sapphire glass","sports|premium|gps|multi-sport|rugged","premium","serious-athletes|outdoor-enthusiasts|professionals",true
12,"Basic Fitness Band",49.99,79.99,"https://images.unsplash.com/photo-1544117519-31a4b719223d?w=500&h=300&fit=crop","Wearables","Fitness","FitBasic",4.1,4567,"Simple and affordable fitness band with step tracking and heart rate monitoring.","Step and calorie tracking|Heart rate monitoring|Sleep tracking|14-day battery life|Water-resistant design","basic|affordable|step-tracking|heart-rate|simple","budget","beginners|casual-fitness|budget-conscious",true
13,"Resistance Bands Set",29.99,,"https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500&h=300&fit=crop","Fitness","Equipment","FlexFit",4.5,2876,"Complete resistance bands set with multiple resistance levels and accessories.","5 resistance levels|Door anchor included|Foam handles for comfort|Carrying bag included|Exercise guide provided","resistance|bands|home-gym|portable|complete-set","budget","home-fitness|travelers|beginners",true
14,"Executive Leather Chair",599.99,,"https://images.unsplash.com/photo-1506439773649-6e0eb8cfb237?w=500&h=300&fit=crop","Furniture","Office","LuxurySeating",4.8,567,"Premium executive chair with genuine leather upholstery and advanced ergonomics.","Genuine leather upholstery|Advanced lumbar support|Heated and massage functions|Memory foam cushioning|Premium gas cylinder","executive|leather|premium|heated|massage","luxury","executives|luxury-seekers|professionals",true
15,"Standing Desk Converter",279.99,,"https://images.unsplash.com/photo-1541558869434-2840d308329a?w=500&h=300&fit=crop","Furniture","Office","ErgoDesk",4.6,1234,"Adjustable standing desk converter that transforms any desk into a sit-stand workstation.","Height adjustable design|Dual monitor support|Keyboard tray included|Easy assembly|Stable platform design","standing-desk|adjustable|ergonomic|converter|dual-monitor","mid","office-workers|health-conscious|remote-workers",true
16,"LED Desk Lamp",69.99,,"https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=500&h=300&fit=crop","Furniture","Lighting","BrightWork",4.4,1876,"Smart LED desk lamp with adjustable brightness and color temperature.","Adjustable brightness levels|Color temperature control|USB charging port|Touch controls|Memory function","led|desk-lamp|adjustable|usb-charging|smart","budget","students|office-workers|readers",true
17,"Rugged Outdoor Speaker",149.99,,"https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=500&h=300&fit=crop","Electronics","Audio","AdventureTech",4.6,2341,"Ultra-rugged Bluetooth speaker designed for extreme outdoor conditions.","IP67 waterproof and dustproof|Shockproof design|40-hour battery life|Built-in power bank|360-degree sound","rugged|outdoor|waterproof|shockproof|power-bank","mid","outdoor-enthusiasts|adventurers|construction-workers",true
18,"Compact Travel Speaker",39.99,59.99,"https://images.unsplash.com/photo-1545454675-3531b543be5d?w=500&h=300&fit=crop","Electronics","Audio","TravelSound",4.2,1567,"Ultra-compact Bluetooth speaker perfect for travel with surprising sound quality.","Ultra-compact design|12-hour battery life|Water-resistant coating|Built-in microphone|Easy pairing","compact|travel|portable|water-resistant|small","budget","travelers|students|minimalists",true
19,"Pan-Tilt Security Camera",229.99,,"https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=500&h=300&fit=crop","Smart Home","Security","SecureVision",4.7,1456,"Advanced pan-tilt security camera with 4K resolution and smart tracking.","Pan and tilt functionality|4K Ultra HD recording|Auto-tracking subjects|Two-way audio|Smart motion zones","pan-tilt|4k|auto-tracking|smart|security","premium","security-professionals|homeowners|tech-enthusiasts",true
20,"Budget Security Camera",79.99,99.99,"https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=500&h=300&fit=crop","Smart Home","Security","HomeSafe",4.0,3456,"Affordable security camera with essential features for basic home monitoring.","1080p HD recording|Night vision|Motion detection|Mobile app access|Easy installation","budget|1080p|basic|motion-detection|easy-install","budget","budget-conscious|renters|basic-security",true
21,"Car Phone Mount",24.99,,"https://images.unsplash.com/photo-1609592193419-8e3c0c7c9b3e?w=500&h=300&fit=crop","Accessories","Automotive","DriveEasy",4.3,5432,"Universal car phone mount with wireless charging capability.","Wireless charging pad|Universal phone compatibility|360-degree rotation|Strong magnetic hold|Easy one-hand operation","car-mount|wireless-charging|magnetic|universal|hands-free","budget","drivers|commuters|rideshare-drivers",true
22,"Smart Door Lock",199.99,,"https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=500&h=300&fit=crop","Smart Home","Security","SecureHome",4.5,2134,"Smart deadbolt lock with keypad, fingerprint, and smartphone access.","Multiple access methods|Fingerprint recognition|Smartphone app control|Auto-lock function|Guest access codes","smart-lock|fingerprint|keypad|smartphone|auto-lock","mid","homeowners|tech-enthusiasts|security-conscious",true
23,"Smart Doorbell Camera",149.99,199.99,"https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=500&h=300&fit=crop","Smart Home","Security","DoorGuard",4.4,3421,"Smart video doorbell with HD video, two-way talk, and motion detection.","1080p HD video|Two-way audio communication|Motion detection alerts|Night vision capability|Cloud storage included","doorbell|video|two-way-audio|motion-alerts|hd","mid","homeowners|renters|security-conscious",true
